               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085447,            0.047226,            0.036863,             0.61605,             0.14924,             0.14669,            0.057897,            0.063397,            0.038283,            0.034391,            0.070073,           0.0033252,           0.0033252
                   1,            0.058559,            0.038662,            0.029277,             0.93767,             0.44326,              0.4976,             0.30353,            0.038401,            0.023635,            0.018192,            0.040007,           0.0065926,           0.0065926
                   2,            0.043933,            0.030745,            0.018943,             0.52912,             0.74852,             0.67373,             0.38876,             0.03072,            0.020438,            0.015749,           0.0098753,            0.009794,            0.009794
                   3,            0.035746,            0.027109,            0.014861,             0.89815,             0.89351,             0.93588,             0.62282,            0.023556,            0.017825,           0.0091314,            0.009703,            0.009703,            0.009703
                   4,            0.032269,            0.025449,            0.011935,             0.95046,             0.90832,              0.9588,             0.68972,            0.021027,            0.016988,           0.0058077,            0.009703,            0.009703,            0.009703
                   5,            0.030154,            0.024176,           0.0095864,             0.95817,             0.93849,             0.97431,             0.68825,            0.021776,            0.016641,           0.0037539,            0.009604,            0.009604,            0.009604
                   6,            0.028836,            0.023527,           0.0079998,             0.94811,             0.95438,             0.97549,              0.7416,            0.018778,            0.015101,           0.0031332,            0.009505,            0.009505,            0.009505
                   7,            0.027834,            0.023003,           0.0070146,             0.95905,             0.95693,             0.97992,             0.74243,            0.019181,            0.015575,           0.0027919,            0.009406,            0.009406,            0.009406
                   8,            0.026814,            0.022577,           0.0066527,             0.95787,             0.96496,             0.98175,             0.74442,            0.017503,            0.014497,           0.0024364,            0.009307,            0.009307,            0.009307
                   9,            0.026068,            0.022008,           0.0062506,             0.96755,             0.95305,             0.98293,             0.76713,            0.017703,            0.014963,           0.0023918,            0.009208,            0.009208,            0.009208
                  10,            0.025659,            0.021713,           0.0059645,             0.96699,              0.9668,             0.98596,             0.77918,            0.016015,            0.013417,            0.002181,            0.009109,            0.009109,            0.009109
                  11,            0.025216,            0.021459,           0.0057865,             0.97436,             0.95723,             0.98471,             0.76514,            0.016233,             0.01393,           0.0022286,             0.00901,             0.00901,             0.00901
                  12,            0.024821,            0.021234,           0.0055166,             0.97519,             0.96214,             0.98439,             0.77965,            0.015971,             0.01356,           0.0020457,            0.008911,            0.008911,            0.008911
                  13,            0.024478,            0.021028,           0.0053539,             0.97339,             0.96564,             0.98517,             0.79528,            0.015733,            0.013283,           0.0019027,            0.008812,            0.008812,            0.008812
                  14,            0.024198,            0.020855,           0.0053272,             0.97652,             0.96645,             0.98705,             0.79265,            0.015158,            0.013103,           0.0018207,            0.008713,            0.008713,            0.008713
                  15,            0.023933,            0.020642,           0.0051831,             0.97583,              0.9675,             0.98669,             0.80864,             0.01486,            0.012677,           0.0017508,            0.008614,            0.008614,            0.008614
                  16,            0.023797,            0.020646,           0.0050426,             0.97074,             0.97347,             0.98694,              0.8008,            0.015162,            0.012669,           0.0017081,            0.008515,            0.008515,            0.008515
                  17,            0.023535,            0.020578,           0.0049694,             0.97557,             0.97149,             0.98835,             0.81198,            0.014538,            0.012383,           0.0016212,            0.008416,            0.008416,            0.008416
                  18,            0.023251,            0.020341,           0.0048312,             0.97158,             0.97097,             0.98845,             0.80834,            0.014422,            0.012589,           0.0016307,            0.008317,            0.008317,            0.008317
                  19,            0.023109,            0.020173,           0.0047854,             0.97762,             0.96836,             0.98865,             0.81819,            0.014177,            0.012267,           0.0016527,            0.008218,            0.008218,            0.008218
                  20,            0.023013,             0.02025,           0.0047616,             0.97633,             0.97322,             0.98906,             0.82349,            0.014002,              0.0124,           0.0015573,            0.008119,            0.008119,            0.008119
                  21,            0.022901,            0.020121,           0.0047672,             0.97521,             0.97469,             0.98888,             0.82258,            0.014127,            0.012414,           0.0015269,             0.00802,             0.00802,             0.00802
                  22,            0.022659,            0.019953,           0.0047114,             0.97412,             0.97684,             0.98994,             0.82711,            0.013927,            0.012126,           0.0014852,            0.007921,            0.007921,            0.007921
                  23,            0.022637,            0.020023,           0.0045795,             0.97977,              0.9717,             0.98959,             0.82663,            0.013951,            0.012184,           0.0014968,            0.007822,            0.007822,            0.007822
                  24,            0.022585,            0.019781,           0.0045827,             0.97729,             0.97336,             0.99038,             0.82809,            0.013861,             0.01214,           0.0014546,            0.007723,            0.007723,            0.007723
