               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084056,            0.047381,            0.029688,             0.51192,             0.26275,               0.159,            0.054535,            0.057584,            0.036976,            0.026996,            0.070058,           0.0033268,           0.0033268
                   1,            0.054831,            0.037055,             0.02528,              0.9354,             0.57579,             0.63594,             0.41238,            0.029935,            0.019212,            0.011874,            0.039993,           0.0065942,           0.0065942
                   2,            0.040155,            0.028935,            0.012048,             0.65926,             0.82406,             0.80817,             0.50635,            0.028101,            0.017061,           0.0062468,           0.0098606,           0.0097956,           0.0097956
                   3,            0.032284,            0.025272,           0.0083458,             0.89841,             0.88733,              0.9234,             0.60579,            0.020482,            0.016668,           0.0042047,            0.009703,            0.009703,            0.009703
                   4,            0.029085,            0.023458,           0.0065523,             0.93023,             0.92261,             0.95176,              0.6724,            0.017718,            0.012282,           0.0030232,            0.009703,            0.009703,            0.009703
                   5,             0.02726,            0.022475,            0.005481,             0.95729,             0.96281,             0.97523,             0.71769,            0.016745,            0.011957,           0.0023372,            0.009604,            0.009604,            0.009604
                   6,            0.026079,              0.0219,           0.0049238,             0.94693,             0.96219,             0.96733,             0.71874,            0.015654,            0.011369,           0.0020855,            0.009505,            0.009505,            0.009505
                   7,            0.025067,            0.021305,           0.0047195,             0.96904,             0.95633,             0.97772,             0.74851,             0.01559,            0.011543,           0.0019271,            0.009406,            0.009406,            0.009406
                   8,            0.024581,            0.020919,           0.0044208,             0.96804,             0.96447,             0.98075,             0.75242,            0.014598,            0.010783,           0.0017754,            0.009307,            0.009307,            0.009307
                   9,            0.024048,            0.020686,           0.0042813,             0.96709,             0.96718,             0.97987,             0.75138,            0.014317,            0.010841,           0.0016669,            0.009208,            0.009208,            0.009208
                  10,            0.023647,            0.020449,            0.004081,             0.96979,             0.96473,              0.9795,               0.767,            0.013564,            0.010418,            0.001746,            0.009109,            0.009109,            0.009109
                  11,            0.023342,            0.020169,           0.0040312,             0.96508,             0.96705,             0.98127,             0.76841,            0.013717,            0.010105,           0.0016584,             0.00901,             0.00901,             0.00901
                  12,            0.022967,             0.01996,           0.0039018,             0.97323,             0.97201,             0.98566,             0.77771,            0.013311,            0.010099,           0.0015327,            0.008911,            0.008911,            0.008911
                  13,            0.022839,            0.019918,           0.0038795,             0.97442,             0.96419,             0.98618,             0.79002,            0.013029,            0.009935,           0.0014737,            0.008812,            0.008812,            0.008812
                  14,            0.022542,            0.019738,           0.0037797,             0.97316,             0.96757,             0.98506,             0.78957,            0.013138,           0.0098319,            0.001485,            0.008713,            0.008713,            0.008713
                  15,            0.022268,            0.019506,            0.003686,             0.97417,              0.9705,             0.98697,             0.79485,            0.012642,           0.0096593,           0.0014209,            0.008614,            0.008614,            0.008614
                  16,            0.022079,            0.019452,           0.0035765,             0.97452,             0.97179,             0.98476,             0.79559,            0.012477,           0.0096097,              0.0014,            0.008515,            0.008515,            0.008515
                  17,            0.021802,            0.019296,           0.0035496,             0.97499,              0.9716,             0.98691,             0.79675,             0.01256,           0.0096091,           0.0013655,            0.008416,            0.008416,            0.008416
                  18,            0.021812,            0.019351,           0.0035306,             0.96898,              0.9777,             0.98657,             0.79443,            0.012399,           0.0094749,            0.001377,            0.008317,            0.008317,            0.008317
                  19,             0.02174,            0.019154,           0.0035354,             0.97331,              0.9752,             0.98638,             0.79913,             0.01225,           0.0093717,           0.0013358,            0.008218,            0.008218,            0.008218
                  20,            0.021488,            0.019043,           0.0034477,             0.97141,             0.97721,             0.98883,             0.80794,            0.012014,            0.009261,           0.0013508,            0.008119,            0.008119,            0.008119
                  21,            0.021377,            0.018947,           0.0034097,             0.97325,             0.97621,              0.9886,             0.80976,            0.011916,            0.009291,           0.0013537,             0.00802,             0.00802,             0.00802
                  22,            0.021236,            0.018805,           0.0034032,             0.97319,             0.97526,             0.98793,             0.81323,            0.011879,           0.0092021,           0.0013303,            0.007921,            0.007921,            0.007921
                  23,            0.021139,            0.018871,            0.003375,             0.97292,             0.97845,             0.98846,             0.81463,            0.011744,           0.0091771,           0.0012882,            0.007822,            0.007822,            0.007822
                  24,            0.021017,            0.018667,           0.0033672,              0.9759,             0.97671,              0.9902,             0.81647,            0.011679,           0.0091505,           0.0012625,            0.007723,            0.007723,            0.007723
                  25,            0.020984,            0.018649,           0.0033012,             0.97442,             0.97809,             0.98947,             0.81826,            0.011684,           0.0091232,           0.0012731,            0.007624,            0.007624,            0.007624
                  26,             0.02081,            0.018462,           0.0032351,             0.97726,             0.97558,             0.98819,             0.81778,            0.011653,           0.0090721,           0.0012901,            0.007525,            0.007525,            0.007525
                  27,            0.020814,            0.018543,           0.0032569,             0.97389,             0.97835,             0.98841,             0.81855,            0.011607,           0.0090134,           0.0012864,            0.007426,            0.007426,            0.007426
                  28,            0.020585,            0.018416,           0.0032148,             0.97635,             0.97608,             0.98881,             0.82012,            0.011537,           0.0089822,           0.0012794,            0.007327,            0.007327,            0.007327
                  29,            0.020581,            0.018389,           0.0031876,             0.97556,             0.97621,             0.98905,             0.82259,            0.011481,           0.0089601,           0.0012743,            0.007228,            0.007228,            0.007228
                  30,            0.020481,            0.018316,           0.0032064,             0.97707,               0.976,             0.98911,             0.82515,            0.011425,            0.008931,           0.0012569,            0.007129,            0.007129,            0.007129
                  31,             0.02043,            0.018318,           0.0031016,             0.97516,             0.97775,             0.98938,             0.82575,            0.011381,           0.0089113,           0.0012365,             0.00703,             0.00703,             0.00703
                  32,            0.020366,            0.018307,           0.0031468,             0.97508,             0.97828,             0.98949,             0.82671,            0.011358,           0.0088896,           0.0012252,            0.006931,            0.006931,            0.006931
                  33,            0.020216,            0.018127,           0.0030614,             0.97409,             0.98067,             0.98952,             0.82839,            0.011332,           0.0088684,            0.001219,            0.006832,            0.006832,            0.006832
                  34,            0.020175,            0.018123,           0.0030763,             0.97355,             0.98101,             0.98956,             0.82889,            0.011307,           0.0088501,           0.0012165,            0.006733,            0.006733,            0.006733
                  35,            0.020144,            0.018041,           0.0030538,             0.97591,             0.97732,              0.9896,              0.8292,            0.011278,           0.0088294,            0.001214,            0.006634,            0.006634,            0.006634
                  36,            0.020103,            0.018004,           0.0030155,             0.97536,             0.97778,             0.98967,             0.82871,            0.011259,           0.0088166,           0.0012106,            0.006535,            0.006535,            0.006535
                  37,            0.020052,            0.018031,           0.0030806,             0.97419,             0.98037,             0.98961,             0.82892,            0.011247,           0.0088077,           0.0012068,            0.006436,            0.006436,            0.006436
                  38,            0.019975,            0.017956,           0.0030512,             0.97368,             0.98059,             0.98969,             0.82968,            0.011237,           0.0087996,           0.0012035,            0.006337,            0.006337,            0.006337
                  39,            0.019803,            0.017839,           0.0029681,              0.9738,             0.98034,             0.98982,             0.83057,            0.011223,             0.00879,           0.0012003,            0.006238,            0.006238,            0.006238
                  40,             0.01992,            0.017851,           0.0030334,             0.97552,                0.98,             0.99002,             0.83065,            0.011211,           0.0087809,           0.0011973,            0.006139,            0.006139,            0.006139
                  41,             0.01974,            0.017791,           0.0029753,             0.97534,             0.98013,             0.99017,             0.83059,            0.011199,           0.0087713,           0.0011939,             0.00604,             0.00604,             0.00604
                  42,            0.019698,             0.01779,           0.0029648,             0.97591,             0.98025,             0.99024,             0.83065,            0.011188,           0.0087633,           0.0011874,            0.005941,            0.005941,            0.005941
                  43,            0.019612,            0.017682,           0.0029584,              0.9759,             0.98034,             0.99029,             0.83119,            0.011182,           0.0087578,           0.0011821,            0.005842,            0.005842,            0.005842
                  44,            0.019577,             0.01761,           0.0029286,             0.97589,             0.98019,             0.99038,              0.8314,            0.011171,           0.0087475,           0.0011792,            0.005743,            0.005743,            0.005743
                  45,            0.019548,            0.017695,            0.002924,             0.97581,             0.98027,             0.99047,             0.83175,            0.011156,            0.008738,           0.0011748,            0.005644,            0.005644,            0.005644
                  46,            0.019533,            0.017681,           0.0029112,             0.97585,             0.98035,             0.99054,             0.83233,            0.011144,           0.0087309,           0.0011708,            0.005545,            0.005545,            0.005545
                  47,            0.019402,            0.017551,           0.0028782,             0.97595,              0.9803,              0.9906,             0.83269,            0.011138,           0.0087244,           0.0011649,            0.005446,            0.005446,            0.005446
                  48,            0.019331,            0.017513,           0.0028244,             0.97585,             0.98026,             0.99074,             0.83253,            0.011127,           0.0087164,           0.0011608,            0.005347,            0.005347,            0.005347
                  49,            0.019297,            0.017495,           0.0027966,             0.97646,             0.98013,             0.99082,             0.83279,            0.011123,           0.0087096,           0.0011569,            0.005248,            0.005248,            0.005248
                  50,            0.019126,            0.017422,           0.0028601,             0.97695,             0.97988,             0.99091,             0.83312,            0.011112,           0.0087029,           0.0011533,            0.005149,            0.005149,            0.005149
                  51,            0.019133,            0.017403,           0.0028435,             0.97697,             0.97988,             0.99103,             0.83272,            0.011106,           0.0086959,           0.0011485,             0.00505,             0.00505,             0.00505
                  52,            0.019124,            0.017342,           0.0028442,             0.97713,             0.97998,             0.99108,             0.83311,            0.011101,           0.0086904,            0.001142,            0.004951,            0.004951,            0.004951
                  53,            0.019035,             0.01733,           0.0027631,             0.97901,             0.98003,             0.99119,             0.83353,            0.011097,           0.0086859,           0.0011361,            0.004852,            0.004852,            0.004852
                  54,            0.019009,            0.017263,           0.0027363,             0.97896,             0.98015,             0.99127,             0.83331,            0.011093,           0.0086797,           0.0011319,            0.004753,            0.004753,            0.004753
                  55,            0.019021,            0.017327,           0.0027506,             0.97915,              0.9807,             0.99131,             0.83321,            0.011087,           0.0086741,           0.0011262,            0.004654,            0.004654,            0.004654
                  56,            0.018883,             0.01727,           0.0027473,              0.9793,             0.98071,             0.99137,             0.83391,            0.011081,           0.0086699,           0.0011222,            0.004555,            0.004555,            0.004555
                  57,            0.018862,            0.017211,           0.0027337,              0.9794,             0.98076,             0.99141,             0.83496,            0.011071,           0.0086611,           0.0011156,            0.004456,            0.004456,            0.004456
                  58,            0.018828,             0.01717,           0.0027246,             0.97939,             0.98072,             0.99149,             0.83533,            0.011051,            0.008647,           0.0011075,            0.004357,            0.004357,            0.004357
                  59,            0.018824,            0.017202,           0.0027723,             0.97936,             0.98108,             0.99149,             0.83541,            0.011035,            0.008634,           0.0011017,            0.004258,            0.004258,            0.004258
                  60,            0.018688,            0.017087,           0.0027168,             0.97857,             0.98152,             0.99153,             0.83596,            0.011024,           0.0086247,            0.001098,            0.004159,            0.004159,            0.004159
